so_id,so_number,customer_id,warehouse_id,order_date,requested_delivery_date,actual_ship_date,status,total_amount,shipping_cost
7506,SO-2024-007506,45,1,2024-07-11,2024-07-23,2024-07-14,Delivered,4683.18,16.28
7507,SO-2024-007507,145,1,2024-07-11,2024-07-19,2024-07-14,Delivered,9509.58,99.4
7508,SO-2024-007508,87,3,2024-07-11,2024-07-22,2024-07-12,Delivered,204769.14,39.24
7509,SO-2024-007509,55,5,2024-07-11,2024-07-17,2024-07-16,Delivered,24755.49,45.61
7510,SO-2024-007510,128,3,2024-07-11,2024-07-24,2024-07-16,Delivered,4137.3,92.01
7511,SO-2024-007511,56,5,2024-07-11,2024-07-20,2024-07-14,Delivered,40250.95,51.84
7512,SO-2024-007512,150,3,2024-07-11,2024-07-23,2024-07-15,Delivered,280319.42,57.6
7513,SO-2024-007513,3,4,2024-07-11,2024-07-15,2024-07-14,Delivered,38212.89,94.16
7514,SO-2024-007514,146,1,2024-07-11,2024-07-17,2024-07-12,Delivered,15659.01,51.04
7515,SO-2024-007515,61,2,2024-07-11,2024-07-15,2024-07-15,Delivered,196147.94,73.54
7516,SO-2024-007516,111,4,2024-07-11,2024-07-18,2024-07-13,Delivered,19428.75,67.67
7517,SO-2024-007517,3,4,2024-07-11,2024-07-14,2024-07-16,Delivered,12715.92,75.29
7518,SO-2024-007518,92,4,2024-07-11,2024-07-14,2024-07-14,Delivered,52691.93,30.83
7519,SO-2024-007519,23,2,2024-07-11,2024-07-16,2024-07-12,Delivered,105944.53,52.91
7520,SO-2024-007520,84,2,2024-07-11,2024-07-16,2024-07-12,Delivered,9979.96,17.99
7521,SO-2024-007521,65,5,2024-07-11,2024-07-20,2024-07-14,Delivered,240173.84,33.99
7522,SO-2024-007522,81,3,2024-07-11,2024-07-19,2024-07-15,Delivered,146009.5,21.75
7523,SO-2024-007523,138,2,2024-07-11,2024-07-23,2024-07-13,Delivered,233.04,36.35
7524,SO-2024-007524,131,3,2024-07-11,2024-07-22,2024-07-15,Delivered,9290.88,81.19
7525,SO-2024-007525,111,2,2024-07-11,2024-07-16,2024-07-14,Delivered,20487.72,45.75
7526,SO-2024-007526,145,5,2024-07-11,2024-07-22,2024-07-14,Delivered,3679.38,91.74
7527,SO-2024-007527,53,5,2024-07-11,2024-07-21,2024-07-13,Delivered,42247.15,72.67
7528,SO-2024-007528,33,4,2024-07-11,2024-07-24,2024-07-16,Delivered,460928.14,13.87
7529,SO-2024-007529,129,4,2024-07-11,2024-07-22,2024-07-16,Delivered,34455.61,14.11
7530,SO-2024-007530,23,4,2024-07-11,2024-07-18,2024-07-14,Delivered,119254.68,22.72
7531,SO-2024-007531,133,4,2024-07-11,2024-07-24,2024-07-12,Delivered,67240.61,93.28
7532,SO-2024-007532,51,4,2024-07-11,2024-07-23,2024-07-14,Delivered,10831.03,69.23
7533,SO-2024-007533,113,1,2024-07-11,2024-07-21,2024-07-15,Delivered,8798.5,74.79
7534,SO-2024-007534,63,1,2024-07-12,2024-07-21,2024-07-13,Delivered,201739.82,31.36
7535,SO-2024-007535,64,4,2024-07-12,2024-07-17,2024-07-15,Delivered,728.02,12.98
7536,SO-2024-007536,102,1,2024-07-12,2024-07-15,2024-07-16,Delivered,585.25,47.44
7537,SO-2024-007537,9,2,2024-07-12,2024-07-20,2024-07-13,Delivered,64559.67,58.78
7538,SO-2024-007538,127,2,2024-07-12,2024-07-16,2024-07-16,Delivered,343330.03,95.95
7539,SO-2024-007539,111,2,2024-07-12,2024-07-21,2024-07-13,Delivered,19281.94,80.63
7540,SO-2024-007540,19,3,2024-07-12,2024-07-25,2024-07-14,Delivered,192.56,35.04
7541,SO-2024-007541,38,2,2024-07-12,2024-07-26,2024-07-16,Delivered,116329.57,57.68
7542,SO-2024-007542,149,3,2024-07-12,2024-07-26,2024-07-14,Delivered,285838.56,16.76
7543,SO-2024-007543,62,5,2024-07-12,2024-07-21,2024-07-15,Delivered,2743.38,34.74
7544,SO-2024-007544,66,5,2024-07-12,2024-07-17,2024-07-16,Delivered,91820.84,31.13
7545,SO-2024-007545,1,4,2024-07-12,2024-07-16,2024-07-14,Delivered,349653.78,23.83
7546,SO-2024-007546,2,1,2024-07-12,2024-07-26,2024-07-17,Delivered,67637.36,83.81
7547,SO-2024-007547,39,3,2024-07-12,2024-07-18,2024-07-16,Delivered,7853.14,99.72
7548,SO-2024-007548,46,5,2024-07-12,2024-07-21,2024-07-16,Delivered,7391.73,82.46
7549,SO-2024-007549,22,4,2024-07-12,2024-07-18,2024-07-13,Delivered,6594.71,31.71
7550,SO-2024-007550,95,1,2024-07-12,2024-07-23,2024-07-17,Delivered,5295.7,95.1
7551,SO-2024-007551,67,4,2024-07-12,2024-07-21,2024-07-13,Delivered,136465.02,14.53
7552,SO-2024-007552,126,4,2024-07-12,2024-07-15,2024-07-13,Delivered,3244.86,90.18
7553,SO-2024-007553,44,4,2024-07-12,2024-07-24,2024-07-15,Delivered,268666.83,96.56
7554,SO-2024-007554,145,3,2024-07-12,2024-07-16,2024-07-13,Delivered,4200.66,84.26
7555,SO-2024-007555,145,3,2024-07-12,2024-07-20,2024-07-14,Delivered,10015.81,33.13
7556,SO-2024-007556,51,3,2024-07-12,2024-07-19,2024-07-14,Delivered,20411.86,48.2
7557,SO-2024-007557,83,4,2024-07-12,2024-07-21,2024-07-15,Delivered,132068.05,11.52
7558,SO-2024-007558,74,2,2024-07-12,2024-07-24,2024-07-15,Delivered,3607.4,23.07
7559,SO-2024-007559,38,2,2024-07-12,2024-07-18,2024-07-15,Delivered,79302.11,83.51
7560,SO-2024-007560,108,1,2024-07-12,2024-07-15,2024-07-16,Delivered,7321.14,15.59
7561,SO-2024-007561,138,3,2024-07-12,2024-07-25,2024-07-13,Delivered,4549.11,83.91
7562,SO-2024-007562,138,5,2024-07-12,2024-07-17,2024-07-14,Delivered,35760.12,76.68
7563,SO-2024-007563,35,1,2024-07-12,2024-07-23,2024-07-15,Delivered,159821.88,49.13
7564,SO-2024-007564,88,3,2024-07-12,2024-07-25,2024-07-13,Delivered,96861.21,60.56
7565,SO-2024-007565,127,2,2024-07-12,2024-07-15,2024-07-16,Delivered,316922.34,64.45
7566,SO-2024-007566,59,2,2024-07-12,2024-07-17,2024-07-15,Delivered,240761.67,45.15
7567,SO-2024-007567,17,3,2024-07-12,2024-07-23,2024-07-17,Delivered,210684.76,19.57
7568,SO-2024-007568,86,3,2024-07-12,2024-07-24,2024-07-13,Delivered,3312.19,89.07
7569,SO-2024-007569,15,2,2024-07-12,2024-07-18,2024-07-15,Delivered,191820.83,86.35
7570,SO-2024-007570,40,1,2024-07-12,2024-07-22,2024-07-13,Delivered,609.64,43.3
7571,SO-2024-007571,35,3,2024-07-12,2024-07-16,2024-07-17,Delivered,171280.6,93.47
7572,SO-2024-007572,15,1,2024-07-12,2024-07-22,2024-07-17,Delivered,199227.75,28.14
7573,SO-2024-007573,53,2,2024-07-12,2024-07-21,2024-07-17,Delivered,320168.66,23.24
7574,SO-2024-007574,57,3,2024-07-12,2024-07-25,2024-07-17,Delivered,37791.97,21.2
7575,SO-2024-007575,38,1,2024-07-12,2024-07-21,2024-07-16,Delivered,113219.3,26.74
7576,SO-2024-007576,80,2,2024-07-12,2024-07-18,2024-07-17,Delivered,4489.26,11.64
7577,SO-2024-007577,135,1,2024-07-12,2024-07-21,2024-07-16,Delivered,201863.22,28.23
7578,SO-2024-007578,87,1,2024-07-12,2024-07-16,2024-07-14,Delivered,250980.13,28.02
7579,SO-2024-007579,121,5,2024-07-12,2024-07-15,2024-07-15,Delivered,4693.23,38.3
7580,SO-2024-007580,29,4,2024-07-12,2024-07-16,2024-07-13,Delivered,120375.53,45.07
7581,SO-2024-007581,41,2,2024-07-12,2024-07-23,2024-07-13,Delivered,286797.81,53.96
7582,SO-2024-007582,63,5,2024-07-12,2024-07-21,2024-07-16,Delivered,266563.7,54.0
7583,SO-2024-007583,140,5,2024-07-12,2024-07-16,2024-07-13,Delivered,319.14,66.19
7584,SO-2024-007584,94,5,2024-07-12,2024-07-16,2024-07-13,Delivered,84298.71,53.86
7585,SO-2024-007585,93,5,2024-07-12,2024-07-20,2024-07-15,Delivered,290427.05,41.14
7586,SO-2024-007586,17,5,2024-07-12,2024-07-21,2024-07-16,Delivered,61683.65,78.56
7587,SO-2024-007587,102,5,2024-07-12,2024-07-25,2024-07-15,Delivered,4121.94,10.45
7588,SO-2024-007588,75,5,2024-07-12,2024-07-16,2024-07-16,Delivered,8124.9,46.27
7589,SO-2024-007589,91,1,2024-07-12,2024-07-25,2024-07-15,Delivered,18149.42,12.88
7590,SO-2024-007590,19,2,2024-07-12,2024-07-18,2024-07-16,Delivered,4155.62,59.83
7591,SO-2024-007591,67,2,2024-07-12,2024-07-26,2024-07-16,Delivered,206359.11,83.5
7592,SO-2024-007592,10,4,2024-07-12,2024-07-16,2024-07-17,Delivered,268014.3,35.45
7593,SO-2024-007593,11,5,2024-07-13,2024-07-21,2024-07-14,Delivered,6013.3,36.36
7594,SO-2024-007594,20,1,2024-07-13,2024-07-22,2024-07-17,Delivered,141059.0,67.4
7595,SO-2024-007595,141,1,2024-07-13,2024-07-17,2024-07-18,Delivered,246776.53,82.52
7596,SO-2024-007596,9,4,2024-07-13,2024-07-16,2024-07-14,Delivered,436396.7,89.51
7597,SO-2024-007597,59,1,2024-07-13,2024-07-20,2024-07-17,Delivered,161472.11,24.37
7598,SO-2024-007598,146,4,2024-07-13,2024-07-19,2024-07-16,Delivered,5859.47,30.34
7599,SO-2024-007599,5,1,2024-07-13,2024-07-17,2024-07-15,Delivered,70239.95,10.53
7600,SO-2024-007600,13,2,2024-07-13,2024-07-26,2024-07-16,Delivered,111752.23,73.78
7601,SO-2024-007601,138,2,2024-07-13,2024-07-22,2024-07-18,Delivered,4364.7,98.67
7602,SO-2024-007602,10,5,2024-07-13,2024-07-20,2024-07-16,Delivered,55685.13,20.72
7603,SO-2024-007603,97,4,2024-07-13,2024-07-27,2024-07-17,Delivered,310040.94,14.77
7604,SO-2024-007604,46,2,2024-07-13,2024-07-17,2024-07-17,Delivered,14447.88,20.87
7605,SO-2024-007605,124,5,2024-07-13,2024-07-17,2024-07-18,Delivered,410943.4,72.81
7606,SO-2024-007606,102,5,2024-07-13,2024-07-23,2024-07-15,Delivered,38980.56,17.62
7607,SO-2024-007607,98,1,2024-07-13,2024-07-20,2024-07-14,Delivered,146093.6,46.28
7608,SO-2024-007608,11,4,2024-07-13,2024-07-20,2024-07-15,Delivered,2745.29,44.14
7609,SO-2024-007609,16,3,2024-07-13,2024-07-21,2024-07-15,Delivered,100106.5,32.06
7610,SO-2024-007610,31,2,2024-07-13,2024-07-18,2024-07-14,Delivered,230531.19,30.19
7611,SO-2024-007611,12,1,2024-07-13,2024-07-26,2024-07-18,Delivered,348876.74,77.68
7612,SO-2024-007612,86,5,2024-07-13,2024-07-17,2024-07-16,Delivered,2280.22,72.64
7613,SO-2024-007613,101,1,2024-07-13,2024-07-19,2024-07-16,Delivered,1206.33,23.53
7614,SO-2024-007614,65,5,2024-07-13,2024-07-18,2024-07-15,Delivered,115377.79,33.21
7615,SO-2024-007615,139,3,2024-07-14,2024-07-28,2024-07-16,Delivered,201572.02,68.71
7616,SO-2024-007616,102,2,2024-07-14,2024-07-27,2024-07-18,Delivered,10847.4,24.63
7617,SO-2024-007617,61,5,2024-07-14,2024-07-22,2024-07-17,Delivered,433342.4,86.49
7618,SO-2024-007618,146,3,2024-07-14,2024-07-20,2024-07-16,Delivered,4251.0,92.41
7619,SO-2024-007619,37,5,2024-07-14,2024-07-28,2024-07-19,Delivered,3191.33,66.16
7620,SO-2024-007620,138,1,2024-07-14,2024-07-24,2024-07-15,Delivered,11682.13,82.83
7621,SO-2024-007621,72,3,2024-07-14,2024-07-22,2024-07-15,Delivered,9727.3,51.29
7622,SO-2024-007622,127,3,2024-07-14,2024-07-25,2024-07-15,Delivered,107269.62,46.58
7623,SO-2024-007623,42,2,2024-07-14,2024-07-19,2024-07-19,Delivered,7107.97,67.54
7624,SO-2024-007624,95,2,2024-07-14,2024-07-21,2024-07-16,Delivered,4022.22,86.81
7625,SO-2024-007625,83,1,2024-07-14,2024-07-20,2024-07-15,Delivered,336338.26,97.49
7626,SO-2024-007626,75,5,2024-07-14,2024-07-26,2024-07-16,Delivered,11325.72,39.18
7627,SO-2024-007627,13,5,2024-07-14,2024-07-18,2024-07-18,Delivered,416284.44,25.35
7628,SO-2024-007628,123,2,2024-07-14,2024-07-27,2024-07-18,Delivered,356.46,64.92
7629,SO-2024-007629,24,1,2024-07-14,2024-07-20,2024-07-15,Delivered,948.15,23.73
7630,SO-2024-007630,15,5,2024-07-14,2024-07-21,2024-07-19,Delivered,394792.24,18.71
7631,SO-2024-007631,141,2,2024-07-14,2024-07-27,2024-07-16,Delivered,115259.21,78.85
7632,SO-2024-007632,77,5,2024-07-14,2024-07-25,2024-07-17,Delivered,26304.57,30.32
7633,SO-2024-007633,10,3,2024-07-14,2024-07-21,2024-07-18,Delivered,73414.15,23.99
7634,SO-2024-007634,7,5,2024-07-14,2024-07-18,2024-07-17,Delivered,3175.91,94.33
7635,SO-2024-007635,78,2,2024-07-14,2024-07-17,2024-07-18,Delivered,5292.65,18.72
7636,SO-2024-007636,29,3,2024-07-14,2024-07-19,2024-07-17,Delivered,396283.14,62.08
7637,SO-2024-007637,105,5,2024-07-15,2024-07-21,2024-07-17,Delivered,14704.13,29.26
7638,SO-2024-007638,149,5,2024-07-15,2024-07-23,2024-07-16,Delivered,62962.79,19.39
7639,SO-2024-007639,131,2,2024-07-15,2024-07-19,2024-07-19,Delivered,14856.18,95.28
7640,SO-2024-007640,15,3,2024-07-15,2024-07-28,2024-07-18,Delivered,99560.48,25.49
7641,SO-2024-007641,21,4,2024-07-15,2024-07-29,2024-07-20,Delivered,6249.75,42.82
7642,SO-2024-007642,138,4,2024-07-15,2024-07-28,2024-07-19,Delivered,10923.99,88.87
7643,SO-2024-007643,96,5,2024-07-15,2024-07-27,2024-07-17,Delivered,12537.66,58.52
7644,SO-2024-007644,113,5,2024-07-15,2024-07-25,2024-07-18,Delivered,7505.96,32.89
7645,SO-2024-007645,2,3,2024-07-15,2024-07-18,2024-07-16,Delivered,262101.5,98.39
7646,SO-2024-007646,22,1,2024-07-15,2024-07-20,2024-07-17,Delivered,6312.52,41.35
7647,SO-2024-007647,40,1,2024-07-15,2024-07-22,2024-07-17,Delivered,337.64,85.01
7648,SO-2024-007648,30,3,2024-07-15,2024-07-21,2024-07-20,Delivered,147615.64,46.71
7649,SO-2024-007649,4,3,2024-07-15,2024-07-22,2024-07-16,Delivered,181769.74,76.45
7650,SO-2024-007650,40,1,2024-07-15,2024-07-21,2024-07-18,Delivered,6964.72,71.51
7651,SO-2024-007651,149,3,2024-07-15,2024-07-24,2024-07-17,Delivered,81914.01,71.01
7652,SO-2024-007652,1,2,2024-07-15,2024-07-28,2024-07-16,Delivered,80553.29,88.84
7653,SO-2024-007653,104,1,2024-07-15,2024-07-28,2024-07-16,Delivered,190832.01,79.4
7654,SO-2024-007654,76,1,2024-07-15,2024-07-21,2024-07-18,Delivered,392604.27,84.12
7655,SO-2024-007655,3,4,2024-07-15,2024-07-23,2024-07-17,Delivered,10839.3,71.74
7656,SO-2024-007656,140,4,2024-07-15,2024-07-19,2024-07-18,Delivered,8132.67,97.58
7657,SO-2024-007657,81,3,2024-07-15,2024-07-27,2024-07-16,Delivered,169697.72,51.41
7658,SO-2024-007658,110,2,2024-07-15,2024-07-29,2024-07-18,Delivered,8783.19,10.18
7659,SO-2024-007659,81,5,2024-07-15,2024-07-26,2024-07-20,Delivered,63206.35,14.61
7660,SO-2024-007660,109,1,2024-07-15,2024-07-24,2024-07-16,Delivered,1224.36,70.51
7661,SO-2024-007661,133,2,2024-07-15,2024-07-26,2024-07-18,Delivered,113247.83,13.07
7662,SO-2024-007662,78,4,2024-07-15,2024-07-23,2024-07-20,Delivered,15624.3,97.27
7663,SO-2024-007663,44,2,2024-07-15,2024-07-27,2024-07-19,Delivered,73893.1,58.27
7664,SO-2024-007664,60,4,2024-07-15,2024-07-20,2024-07-20,Delivered,81214.02,92.14
7665,SO-2024-007665,125,5,2024-07-15,2024-07-25,2024-07-16,Delivered,22343.21,23.76
7666,SO-2024-007666,42,2,2024-07-15,2024-07-18,2024-07-20,Delivered,1741.62,56.09
7667,SO-2024-007667,127,4,2024-07-15,2024-07-22,2024-07-16,Delivered,436140.68,18.15
7668,SO-2024-007668,91,3,2024-07-15,2024-07-21,2024-07-17,Delivered,5833.85,64.15
7669,SO-2024-007669,42,2,2024-07-15,2024-07-21,2024-07-17,Delivered,13139.77,94.66
7670,SO-2024-007670,2,3,2024-07-15,2024-07-29,2024-07-18,Delivered,103379.32,85.6
7671,SO-2024-007671,83,4,2024-07-15,2024-07-22,2024-07-16,Delivered,249031.1,84.68
7672,SO-2024-007672,113,5,2024-07-15,2024-07-18,2024-07-16,Delivered,2240.78,23.84
7673,SO-2024-007673,62,1,2024-07-15,2024-07-29,2024-07-18,Delivered,1160.49,89.57
7674,SO-2024-007674,112,3,2024-07-15,2024-07-24,2024-07-20,Delivered,35807.58,11.36
7675,SO-2024-007675,32,4,2024-07-15,2024-07-21,2024-07-19,Delivered,8707.6,79.07
7676,SO-2024-007676,66,5,2024-07-15,2024-07-29,2024-07-19,Delivered,247911.4,69.02
7677,SO-2024-007677,2,4,2024-07-15,2024-07-22,2024-07-16,Delivered,70811.52,61.16
7678,SO-2024-007678,2,2,2024-07-15,2024-07-28,2024-07-19,Delivered,229949.89,87.06
7679,SO-2024-007679,72,4,2024-07-15,2024-07-19,2024-07-20,Delivered,1877.85,43.86
7680,SO-2024-007680,133,2,2024-07-15,2024-07-23,2024-07-18,Delivered,262833.47,91.46
7681,SO-2024-007681,24,3,2024-07-15,2024-07-29,2024-07-16,Delivered,6305.85,17.55
7682,SO-2024-007682,6,3,2024-07-15,2024-07-19,2024-07-18,Delivered,2506.92,47.8
7683,SO-2024-007683,101,2,2024-07-15,2024-07-18,2024-07-20,Delivered,8283.38,37.52
7684,SO-2024-007684,81,5,2024-07-15,2024-07-27,2024-07-18,Delivered,169875.63,13.96
7685,SO-2024-007685,106,4,2024-07-15,2024-07-23,2024-07-16,Delivered,2947.66,35.4
7686,SO-2024-007686,49,2,2024-07-15,2024-07-24,2024-07-19,Delivered,280487.09,38.3
7687,SO-2024-007687,32,5,2024-07-15,2024-07-28,2024-07-19,Delivered,44.1,31.31
7688,SO-2024-007688,136,5,2024-07-15,2024-07-23,2024-07-16,Delivered,185458.97,24.95
7689,SO-2024-007689,48,1,2024-07-15,2024-07-29,2024-07-20,Delivered,3579.3,28.48
7690,SO-2024-007690,79,1,2024-07-15,2024-07-20,2024-07-18,Delivered,47539.5,96.95
7691,SO-2024-007691,124,3,2024-07-15,2024-07-26,2024-07-19,Delivered,297032.67,41.95
7692,SO-2024-007692,44,3,2024-07-15,2024-07-22,2024-07-16,Delivered,123555.45,17.48
7693,SO-2024-007693,100,4,2024-07-15,2024-07-24,2024-07-17,Delivered,5962.82,49.88
7694,SO-2024-007694,2,5,2024-07-15,2024-07-27,2024-07-18,Delivered,65047.53,79.7
7695,SO-2024-007695,108,2,2024-07-15,2024-07-26,2024-07-19,Delivered,7758.22,71.86
7696,SO-2024-007696,3,4,2024-07-15,2024-07-24,2024-07-19,Delivered,17403.39,72.06
7697,SO-2024-007697,105,4,2024-07-15,2024-07-19,2024-07-20,Delivered,14544.14,55.52
7698,SO-2024-007698,125,2,2024-07-15,2024-07-20,2024-07-20,Delivered,14552.2,47.41
7699,SO-2024-007699,42,1,2024-07-15,2024-07-18,2024-07-16,Delivered,4350.55,86.0
7700,SO-2024-007700,125,1,2024-07-15,2024-07-20,2024-07-20,Delivered,6326.53,94.84
7701,SO-2024-007701,67,5,2024-07-15,2024-07-25,2024-07-18,Delivered,44871.91,63.86
7702,SO-2024-007702,33,2,2024-07-15,2024-07-24,2024-07-17,Delivered,227454.54,24.61
7703,SO-2024-007703,108,1,2024-07-15,2024-07-29,2024-07-19,Delivered,4259.23,42.47
7704,SO-2024-007704,91,3,2024-07-15,2024-07-21,2024-07-19,Delivered,2813.32,86.88
7705,SO-2024-007705,127,4,2024-07-16,2024-07-28,2024-07-19,Delivered,488359.65,45.12
7706,SO-2024-007706,46,5,2024-07-16,2024-07-25,2024-07-18,Delivered,297.68,50.91
7707,SO-2024-007707,24,4,2024-07-16,2024-07-26,2024-07-20,Delivered,37429.92,95.9
7708,SO-2024-007708,59,4,2024-07-16,2024-07-22,2024-07-18,Delivered,180561.55,16.14
7709,SO-2024-007709,65,5,2024-07-16,2024-07-24,2024-07-17,Delivered,91429.96,17.49
7710,SO-2024-007710,130,5,2024-07-16,2024-07-23,2024-07-17,Delivered,206462.16,59.66
7711,SO-2024-007711,102,3,2024-07-16,2024-07-24,2024-07-18,Delivered,15718.8,79.37
7712,SO-2024-007712,135,4,2024-07-16,2024-07-28,2024-07-20,Delivered,196393.32,20.13
7713,SO-2024-007713,65,4,2024-07-16,2024-07-23,2024-07-19,Delivered,90893.59,83.34
7714,SO-2024-007714,58,5,2024-07-16,2024-07-20,2024-07-18,Delivered,230726.13,68.39
7715,SO-2024-007715,80,4,2024-07-16,2024-07-30,2024-07-21,Delivered,7874.66,62.56
7716,SO-2024-007716,56,1,2024-07-16,2024-07-21,2024-07-18,Delivered,10576.56,19.32
7717,SO-2024-007717,131,1,2024-07-16,2024-07-23,2024-07-17,Delivered,371.16,34.32
7718,SO-2024-007718,34,2,2024-07-16,2024-07-27,2024-07-19,Delivered,205356.24,43.38
7719,SO-2024-007719,68,4,2024-07-16,2024-07-29,2024-07-21,Delivered,43228.49,63.25
7720,SO-2024-007720,37,1,2024-07-16,2024-07-23,2024-07-19,Delivered,17080.05,53.67
7721,SO-2024-007721,15,3,2024-07-16,2024-07-19,2024-07-20,Delivered,218418.51,16.55
7722,SO-2024-007722,76,5,2024-07-16,2024-07-26,2024-07-18,Delivered,139860.05,16.29
7723,SO-2024-007723,126,2,2024-07-16,2024-07-26,2024-07-19,Delivered,5078.78,84.46
7724,SO-2024-007724,53,2,2024-07-16,2024-07-28,2024-07-19,Delivered,81103.3,38.57
7725,SO-2024-007725,32,4,2024-07-16,2024-07-27,2024-07-20,Delivered,1495.44,17.42
7726,SO-2024-007726,41,4,2024-07-16,2024-07-26,2024-07-21,Delivered,332588.01,90.92
7727,SO-2024-007727,122,2,2024-07-16,2024-07-19,2024-07-17,Delivered,12399.24,19.93
7728,SO-2024-007728,32,3,2024-07-16,2024-07-27,2024-07-21,Delivered,822.61,18.57
7729,SO-2024-007729,65,5,2024-07-16,2024-07-19,2024-07-19,Delivered,144475.68,82.8
7730,SO-2024-007730,142,3,2024-07-16,2024-07-24,2024-07-17,Delivered,268206.46,78.67
7731,SO-2024-007731,47,5,2024-07-16,2024-07-23,2024-07-21,Delivered,13823.42,69.82
7732,SO-2024-007732,29,2,2024-07-16,2024-07-23,2024-07-20,Delivered,376244.55,94.58
7733,SO-2024-007733,104,3,2024-07-16,2024-07-22,2024-07-20,Delivered,134421.81,41.95
7734,SO-2024-007734,10,1,2024-07-16,2024-07-22,2024-07-21,Delivered,302345.3,96.44
7735,SO-2024-007735,100,1,2024-07-16,2024-07-19,2024-07-20,Delivered,1083.32,72.03
7736,SO-2024-007736,126,2,2024-07-16,2024-07-27,2024-07-19,Delivered,185.74,77.72
7737,SO-2024-007737,117,2,2024-07-16,2024-07-22,2024-07-21,Delivered,1405.11,37.65
7738,SO-2024-007738,49,4,2024-07-16,2024-07-26,2024-07-21,Delivered,141508.01,83.36
7739,SO-2024-007739,45,2,2024-07-16,2024-07-24,2024-07-17,Delivered,2568.03,32.93
7740,SO-2024-007740,93,3,2024-07-16,2024-07-29,2024-07-17,Delivered,137323.88,87.38
7741,SO-2024-007741,45,3,2024-07-16,2024-07-21,2024-07-21,Delivered,5035.02,72.99
7742,SO-2024-007742,90,1,2024-07-16,2024-07-25,2024-07-19,Delivered,75157.79,92.94
7743,SO-2024-007743,128,3,2024-07-16,2024-07-19,2024-07-19,Delivered,10971.72,37.04
7744,SO-2024-007744,112,5,2024-07-16,2024-07-26,2024-07-20,Delivered,1529.86,58.61
7745,SO-2024-007745,8,5,2024-07-16,2024-07-24,2024-07-18,Delivered,6119.57,55.49
7746,SO-2024-007746,28,2,2024-07-16,2024-07-21,2024-07-19,Delivered,10138.44,94.33
7747,SO-2024-007747,141,1,2024-07-16,2024-07-29,2024-07-21,Delivered,58251.14,48.07
7748,SO-2024-007748,113,2,2024-07-16,2024-07-30,2024-07-19,Delivered,8521.78,94.44
7749,SO-2024-007749,123,2,2024-07-16,2024-07-23,2024-07-17,Delivered,5084.92,15.49
7750,SO-2024-007750,113,1,2024-07-16,2024-07-27,2024-07-20,Delivered,369.15,65.11
7751,SO-2024-007751,137,2,2024-07-16,2024-07-23,2024-07-18,Delivered,675.35,58.34
7752,SO-2024-007752,103,4,2024-07-16,2024-07-21,2024-07-17,Delivered,254344.92,44.85
7753,SO-2024-007753,122,2,2024-07-16,2024-07-30,2024-07-19,Delivered,15556.62,25.06
7754,SO-2024-007754,136,1,2024-07-16,2024-07-25,2024-07-21,Delivered,51679.35,33.29
7755,SO-2024-007755,58,5,2024-07-16,2024-07-29,2024-07-21,Delivered,43479.92,84.24
7756,SO-2024-007756,92,5,2024-07-16,2024-07-19,2024-07-18,Delivered,95165.18,60.47
7757,SO-2024-007757,35,3,2024-07-16,2024-07-24,2024-07-17,Delivered,75945.15,22.57
7758,SO-2024-007758,87,1,2024-07-16,2024-07-26,2024-07-17,Delivered,109566.51,85.19
7759,SO-2024-007759,45,3,2024-07-16,2024-07-21,2024-07-18,Delivered,11192.41,12.9
7760,SO-2024-007760,95,2,2024-07-16,2024-07-19,2024-07-20,Delivered,17617.77,88.58
7761,SO-2024-007761,8,2,2024-07-16,2024-07-29,2024-07-17,Delivered,5067.84,32.28
7762,SO-2024-007762,147,2,2024-07-16,2024-07-27,2024-07-20,Delivered,453309.23,71.57
7763,SO-2024-007763,103,4,2024-07-16,2024-07-29,2024-07-17,Delivered,402228.91,24.6
7764,SO-2024-007764,7,1,2024-07-16,2024-07-28,2024-07-20,Delivered,11863.02,31.12
7765,SO-2024-007765,46,3,2024-07-16,2024-07-28,2024-07-20,Delivered,5744.87,81.75
7766,SO-2024-007766,118,5,2024-07-16,2024-07-27,2024-07-18,Delivered,3833.72,63.09
7767,SO-2024-007767,27,2,2024-07-16,2024-07-23,2024-07-21,Delivered,3154.05,31.58
7768,SO-2024-007768,3,3,2024-07-16,2024-07-22,2024-07-18,Delivered,3354.57,72.5
7769,SO-2024-007769,36,5,2024-07-17,2024-07-30,2024-07-19,Delivered,914.46,76.1
7770,SO-2024-007770,20,5,2024-07-17,2024-07-27,2024-07-22,Delivered,112133.71,17.24
7771,SO-2024-007771,73,1,2024-07-17,2024-07-27,2024-07-18,Delivered,11976.41,85.93
7772,SO-2024-007772,96,1,2024-07-17,2024-07-20,2024-07-20,Delivered,2364.38,46.91
7773,SO-2024-007773,60,5,2024-07-17,2024-07-27,2024-07-21,Delivered,124469.28,10.03
7774,SO-2024-007774,115,5,2024-07-17,2024-07-30,2024-07-19,Delivered,168128.08,88.74
7775,SO-2024-007775,121,1,2024-07-17,2024-07-26,2024-07-22,Delivered,9271.05,22.0
7776,SO-2024-007776,37,2,2024-07-17,2024-07-31,2024-07-18,Delivered,15282.6,57.48
7777,SO-2024-007777,65,4,2024-07-17,2024-07-31,2024-07-22,Delivered,194570.7,18.26
7778,SO-2024-007778,8,2,2024-07-17,2024-07-30,2024-07-20,Delivered,2798.12,82.56
